id,name,latitude,longitude
30436,Cullman Rest Area,34.07464,-86.863925
30437,Clanton Rest Area,32.906799,-86.637904
30438,Greenville Rest Area,31.884572,-86.610024
30439,Evergreen Rest Area,31.372303,-87.051415
30440,Port Huron Welcome Center,42.988911,-82.474104
30441,Capac Rest Area,42.993302,-82.957113
30442,Woodbury Rest Area,42.81173,-84.306649
30443,Marshall Rest Area,42.329176,-84.992149
30444,Angola Welcome Center,41.580325,-85.059689
30445,Gaston Rest Area,40.357633,-85.559666
30446,Brunswick Rest Area,41.210051,-81.794148
30447,West Salem Rest Area,40.940208,-82.09996
30448,Columbus Rest Area,40.226689,-82.929916
30449,Jeffersonville Rest Area,39.636794,-83.573522
30450,Lebanon Welcome Center,39.415844,-84.122576
30451,Florence Rest Area,38.938889,-84.633656
30452,Crestwood Rest Area,38.339438,-85.517903
30453,Saint Ignace Rest Area,45.883188,-84.744841
30454,Hebron Rest Area,45.657113,-84.637448
30455,Vanderbilt Rest Area,45.106542,-84.689484
30456,Grayling Rest Area,44.750531,-84.7098
30457,Roscommon Rest Area,44.394063,-84.601332
30458,Alger Rest Area,44.11224,-84.120111
30459,Bay City Rest Area,43.528194,-83.943773
30460,Clio Rest Area,43.157867,-83.767123
30461,Clarkston Rest Area,42.743036,-83.485859
30462,Bowling Green Welcome Center,41.335665,-83.627269
30463,Findlay Rest Area,40.986524,-83.71372
30464,Wapakoneta Rest Area,40.600089,-84.15875
30465,Piqua Rest Area,40.13285,-84.216817
30466,Monroe Rest Area,39.420341,-84.349339
30467,Florence Rest Area,38.938889,-84.633656
30468,Georgetown Rest Area,38.250205,-84.549088
30469,Jellico Welcome Center,36.588393,-84.106206
30470,Athens Rest Area,35.429341,-84.689262
30471,Ringgold Welcome Center,34.94872,-85.176744
30472,Calhoun Rest Area,34.563301,-84.944299
30473,Forsyth Rest Area,32.97215,-83.827789
30474,Pinehurst Rest Area,32.209904,-83.747337
30475,Sycamore Rest Area,31.634255,-83.584301
30476,Lenox Rest Area,31.260952,-83.471464
30477,Jennings Welcome Center,30.612739,-83.146883
30478,Lake City Rest Area,29.979032,-82.579862
30479,Micanopy Rest Area,29.589645,-82.363834
30480,Ocala Rest Area,29.09586,-82.186145
30481,Bushnell Rest Area,28.587728,-82.211777
30482,Wesley Chapel Rest Area,28.213721,-82.373503
30483,Ruskin Rest Area,27.6925,-82.420664
30484,Immokalee Rest Area,26.167499,-81.078477
30485,Weston Rest Area,26.145477,-80.626879
30486,Bath Rest Area,41.195625,-81.626491
30487,Buffalo Rest Area,39.90581,-81.528639
30488,Mineral Wells Rest Area,39.13217,-81.549427
30489,Burnwell Rest Area,38.068488,-81.380935
30490,Rocky Gap Welcome Center,37.206406,-81.104677
30491,Mount Airy Welcome Center,36.559351,-80.746271
30492,Fort Mill Welcome Center,35.079866,-80.943577
30493,Richburg Rest Area,34.7639,-81.038233
30494,Edinboro Rest Area,41.846332,-80.177029
30495,Sheakleyville Rest Area,41.46759,-80.168117
30496,Grove City Rest Area,41.101291,-80.145024
30497,Bridgeville Rest Area,40.32919,-80.141053
30498,Morgantown Welcome Center,39.697405,-80.046839
30499,Bridgeport Rest Area,39.314298,-80.254326
30500,Burnsville Rest Area,38.91313,-80.595722
30501,Frametown Rest Area,38.6205,-80.899659
30502,Watertown Rest Area,43.902037,-75.98464
30503,Whitney Point Rest Area,42.375006,-75.994904
30504,Great Bend Welcome Center,41.983957,-75.748547
30505,Lenoxville Rest Area,41.674089,-75.682368
30506,Nuangola Rest Area,41.130705,-75.963713
30507,Grantville Rest Area,40.375297,-76.677061
30508,Carlisle Rest Area,40.147691,-77.316788
30509,Falling Waters Welcome Center,39.587123,-77.847989
30510,Winchester Welcome Center,39.242805,-78.11582
30511,New Market Rest Area,38.616919,-78.7062
30512,Mount Sydney Rest Area,38.251608,-78.955205
30513,Fairfield Rest Area,37.875581,-79.309405
30514,Troutville Rest Area,37.46916,-79.811944
30515,Radford Rest Area,37.099345,-80.521023
30516,Atkins Rest Area,36.883552,-81.385744
30517,Bristol Welcome Center,36.594771,-82.247117
30518,Baileyton Rest Area,36.350604,-82.768707
30519,White Pine Rest Area,36.092041,-83.354138
30520,Dinwiddie Rest Area,37.103171,-77.544258
30521,Alberta Rest Area,36.86611,-77.83695
30522,Norlina Welcome Center,36.515521,-78.207183
30523,Oxford Rest Area,36.237879,-78.639709
30524,Burlington Rest Area,36.064914,-79.534247
30525,Thomasville Rest Area,35.844696,-80.129644
30526,Concord Rest Area,35.456824,-80.594393
30527,Blacksburg Welcome Center,35.148993,-81.49509
30528,Anderson Rest Area,34.601187,-82.653366
30529,Lavonia Welcome Center,34.472747,-83.070487
30530,Lanett Welcome Center,32.839637,-85.197299
30531,Tuskegee Rest Area,32.50428,-85.610295
30532,West Chazy Rest Area,44.805705,-73.445691
30533,North Hudson Rest Area,44.017136,-73.705286
30534,Glens Falls Rest Area,43.274146,-73.676904
30535,New Baltimore Service Plaza,42.428249,-73.806015
30536,Kingston Service Plaza,42.014199,-73.999654
30537,Newburgh Service Plaza,41.592568,-74.088359
