id,name,parking,reserved,fee,latitude,longitude
12880,cedarville cedar pantry express market,3,False,False,45.999391,-84.366062
12881,center line marathon,2,False,False,42.476864,-83.037254
12882,champion koski korner,0,False,False,46.49741,-87.918362
12883,charlevoix krist food mart,5,False,False,45.30062,-85.271866
12884,chassell krist,74,False,False,47.02307,-88.5268
12885,chelsea bp,60,False,False,42.297353,-83.975952
12886,coleman coleman shell,5,False,False,43.765306,-84.586518
12887,comstock park superamerica,0,False,False,43.038018,-85.663403
12888,coopersville speedway,20,False,False,43.057973,-85.95765
12889,covington north 141 travel plaza,5,False,False,46.546472,-88.537264
12890,crystal falls krist,0,False,False,46.097778,-88.3494
12891,dearborn 26 man fuel auto svc,0,False,False,42.322431,-83.157144
12892,dearborn bp,5,False,False,42.327453,-83.156912
12893,dearborn truck city,18,False,False,42.324563,-83.156472
12894,detroit ammex incorporated,40,False,False,42.318986,-83.080641
12895,detroit bp truck stop,25,False,False,42.312806,-83.089683
12896,detroit dragoon fort service(marathon),10,False,False,42.307314,-83.102755
12897,detroit fuel mart of america,15,False,False,42.288679,-83.165895
12898,detroit marathon t/s,0,False,False,42.336777,-83.123765
12899,detroit motor city truck plaza,3,False,False,42.287675,-83.164556
12900,detroit u s petro mart,0,False,False,42.310727,-83.094202
12901,dewitt speedway truck stop,10,False,False,42.825339,-84.542175
12902,dexter pilot travel center,3,False,False,42.295757,-83.878626
12903,dexter pilot travel center,0,False,False,42.301667,-83.877965
12904,dundee dundee travel center,5,False,False,41.959126,-83.675321
12905,eagle speedway truck stop,3,False,False,42.798691,-84.739823
12906,eau claire berrien county farm bureau oil,20,False,False,41.984505,-86.264305
12907,elmira blarney castle oil,20,False,False,45.065424,-84.896825
12908,fenton hartland mobil,5,False,False,42.676571,-83.757711
12909,fife lake beacon and bridge market,0,False,False,44.576629,-85.363143
12910,flat rock sunoco,0,False,False,42.069387,-83.311688
12911,flint bristol mobil,10,False,False,42.973425,-83.731883
12912,flint speedway,0,False,False,42.972794,-83.719624
12913,flint speedway,15,False,False,43.022027,-83.654258
12914,frenchtown loves travel stop,10,False,False,41.964709,-83.345375
12915,gaylord gaylord citgo,10,False,False,45.028087,-84.702299
12916,gaylord johnson oil(marathon),15,False,False,44.990311,-84.677
12917,gladstone citgo quik food mart,100,False,False,45.852712,-87.024231
12918,"grand blanc us 23 travel center and truck stop 
- 
us23 ex 88, 2330 w grand blanc rd, grand blanc mi 48439 
150 truck parking spaces",150,False,False,42.914767,-83.723356
12919,grand haven speedway,40,False,False,43.030847,-86.21694
12920,grand ledge flying j travel plaza,15,False,False,42.787339,-84.678165
12921,grand ledge pohl oil travel plaza #2,20,False,False,42.797762,-84.738339
12922,grand rapids speedway,40,False,False,43.01379,-85.688568
12923,grayling charlies country corner,15,False,False,44.600628,-84.7124
12924,gulliver blaney park quik stop,60,False,False,46.100731,-85.930192
12925,gulliver gulliver crossroads,156,True,False,45.992874,-86.012396
12926,harrison citgo,3,False,False,43.990993,-84.780378
